title;artist;album;isrc
"The Axis";"Thee Oh Sees";"A Weird Exits";USA2Z1610967
Ravi;Caribou;Suddenly;DED622000011
Magpie;Caribou;Suddenly;DED622000010
Home;Caribou;Suddenly;DED622000005
"Sunny's Time";Caribou;Suddenly;DED622000003
Sister;Caribou;Suddenly;DED622000001
"Cloud Song";Caribou;Suddenly;DED622000012
"Poor Moon - Bonus Track";"Canned Heat";Hallelujah;USCA26900322
"Who Loves The Sun - 2015 Remastered";"The Velvet Underground";"Loaded: Re-Loaded 45th Anniversary Edition";USRH11503012
"Dark Star - Single Version; 2001 Remaster";"Grateful Dead";"Complete Studio Rarities Collection";USWB10105574
"Black Peter - 2013 Remaster";"Grateful Dead";"Workingman's Dead";USWB11304505
むこう岸が視る夢;toe;"the book about my idle plot on a vague anxiety";JPZ921205335
Secret;1AM;Secret;QZGWW1989525
"Late Night Project";1AM;"Late Night Project";QZGWW1975803
"Feels so Good";"The Golden Guns";"Get That!";uscgh2044812
"Fahrenheit Fair Enough";"Telefon Tel Aviv";"Fahrenheit Fair Enough";US2J71607201
"Come When You Call";"TV Girl";"French Exit";ushm21438145
Artangels;Grimes;"Art Angels";GBAFL1500151
Fireworks;"Animal Collective";"Strawberry Jam";GBCEL0700351
"Everything You Do Is A Balloon";"Boards of Canada";"Hi Scores";GB-LJH-96-10806
"Ize of the World";"The Strokes";"First Impressions Of Earth";USRC10503569
Juicebox;"The Strokes";"First Impressions Of Earth";USRC10503421
"Vision of Division";"The Strokes";"First Impressions Of Earth";USRC10503563
"Lotus - Part I - IV";Ashra;Blackouts;GBAAA7800234
"Wolf Run - Pt. 2";"Quicksilver Messenger Service";"Just For Love";USCA29201357
"Wolf Run - Pt. 1";"Quicksilver Messenger Service";"Just For Love";USCA29201351
Recovery;"Jon Hopkins";Singularity;GBCEL1700699
Obfuse;"Floating Points";Shadows;GB4HG0900063
"Myrtle Avenue";"Floating Points";Shadows;GB4HG0900062
"Love Is the Message";"Yussef Dayes, Alfa Mist, Mansur Brown";"Love Is the Message";GBKPL1812344
"Waiting on Words";"The Black Keys";"Turn Blue";USNO11400184
Rainbows;Bochek;Rainbows;TCAEN1901070
"The Man Who Sold The World";Nirvana;"MTV Unplugged In New York";USGF19972704
"USA Is A Psycho";"Lightning Bolt";"Sonic Citadel";USTJ21950502
"SP12 Beat";"Mount Kimbie";"Love What Survives";GBBPW1700106
"Pricks Of Brightness";Ratatat;Magnifique;GBBKS1500060
Pinnacles;"Four Tet";Pink;GBXNG1190001
"Ever Never";"Four Tet";"Beautiful Rewind";GBXNG1325009
"Mr. Big Picture";"Surf Harp";"Mr. Big Picture";QMDA61827931
Energy;"The Apples In Stereo";"New Magnetic Wonder";USY1R0601704
"Four Years and One Day";"Mount Kimbie";"Love What Survives";GBBPW1700103
"Your Body Feels";"Four Tet";"Beautiful Rewind";GBXNG1325011
"Sing - Floating Points Remix";"Four Tet, Floating Points";"There Is Love in You (Expanded Edition)";GBCEL1000027
Blackbird;"Tash Sultana";"Flow State";AUBM01800239
"Don't Let Me Die In America";"of Montreal";"UR FUN";US3R42039407
"Get God's Attention By Being An Atheist";"of Montreal";"UR FUN";US3R42039403
"Doin' Time";Sublime;"Sublime Greatest Hits";USGA19649248
"I Love Acid";"Luke Vibert";YosepH;GBBPW0300175
Flake;Jameszoo;Fool;US25X1089205
Celebration;"Premiata Forneria Marconi";"Photos Of Ghosts";ITB007301032
"The String Game";"Guerilla Toss";"GT Ultra";US4GE1600083
"Skull Pop";"Guerilla Toss";"GT Ultra";US4GE1600084
"Dose Rate";"Guerilla Toss";"GT Ultra";US4GE1600086
"Dog in the Mirror";"Guerilla Toss";"GT Ultra";US4GE1600085
"Homeless Man In Addidas";"King Gizzard & The Lizard Wizard";Oddments;AUDJ01401048
"Your Teeth In My Neck";"Kali Uchis";Isolation;GBUM71702547
"Super 78";NEU!;"NEU! 2";DEA340002077
Hero;NEU!;"Neu! 75";DEA340002083
Rest;"Charlotte Gainsbourg";Rest;FR6P11701940
"Silent Picture";deadmau5;while(1<2);GBTDG1300585
"Betty Dreams of Green Men";"Guerilla Toss";"GT Ultra";US4GE1600079
ABABCd.;"King Gizzard & The Lizard Wizard";Oddments;AUDJ01401043
"Opening The Mouth";"Boards of Canada";Geogaddi;GBBPW0100205
"Silva & Grimes";"Holy Fuck";Latin;GBBKS0900251
"No Error";"Holy Fuck";Deleter;GBKPL1969259
"The Hive";Melt-Banana;Fetch;US36X1310002
"Black Panther";"Crystal Castles";"Crystal Castles";CAL450896215
"Air War";"Crystal Castles";"Crystal Castles";CAL450896206
Overdraft;deadmau5;"deadmau5 At Play, Vol. 5";CAPA31400831
"Rlyehs Lament";deadmau5;while(1<2);GBTDG1300586
4ware;deadmau5;W:/2016ALBUM/;GBTDG1301192
Bodys;"Car Seat Headrest";"Twin Fantasy";USMTD1710364
"House of Holograms";"Zach Schimpf";"Zach's House of Holograms";QMPKX1781640
"Pete Standing Alone";"Boards of Canada";"Music Has The Right To Children";GBBPW9800023
Rattlesnake;"Ohio Players";Ecstasy;US25X0702111
"Hustle Bird";"Ohio Players";Ecstasy;US25X0702112
"Hollywood Hump";"Ohio Players";Ecstasy;US25X0702113
"She Locked It";"Ohio Players";Ecstasy;US25X0702114
"Laid It";"Ohio Players";Pleasure;US25X0702002
"Trans Maximus";"Ohio Players";Ecstasy;US25X0702115
"Black Cat";"Ohio Players";Ecstasy;US25X0702105
"Mary, Mary";Run–D.M.C.;"Tougher Than Leather (Expanded Edition)";USAR10200758
"Wicky Wacky";"Fatback Band";"Keep On Steppin'";GBBHN9200006
"The Adventures of Grandmaster Flash on the Wheel of Steel";"Grandmaster Flash & The Furious Five";"The Message";USRH10175385
"It's a Shame (Mt. Airy Groove)";"Grandmaster Flash & The Furious Five";"The Message";USRH10450420
"Vega Core";"Mick Gordon";"Doom (Original Game Soundtrack)";QMTH31600043
Someday;"George Duke";"I Love the Blues, She Heard Me Cry";DEA117500190
Mashavu;"George Duke";"I Love the Blues, She Heard Me Cry";DEA117500150
Montparnasse;"Floating Points";"King Bromeliad / Montparnasse";GB4HG1300125
"Lethal Look";CFM;"Dichotomy Desaturated";USA3D1610094
Seven;TYSON;"White / Seven";UKRFZ1900106
"Beast For Thee";"Bonnie ""Prince"" Billy, Bryce Dessner, eighth blackbird";"When We Are Inhuman";QMB621900401
"This Is Far From Over";"Bonnie ""Prince"" Billy";"This Is Far From Over";US58L1976308
"Is This Power";"The Field";"Looping State Of Mind";DEU671100155
Fredag;Dungen;4;USKDO0800061
"Outer Sunset";Tycho;"Outer Sunset";GBCFB1900306
"Liminal Daybreak";Papadosio;"Content Coma";QM6MZ1833349
"Black Swan";"Thom Yorke";"The Eraser";GBBKS0600030
Pills;"St. Vincent";MASSEDUCTION;USC4R1702205
"Hippie Babysitter";Papadosio;Observations;ushm90970407
"Holy Heck";Papadosio;"By the Light of the Stars";QM4TX1837748
"The Book of You and I";"Matt Pless";Tumbleweed;QZ4JJ1973932
"Portal to the Other Side of My Brain";"Zach Schimpf";"The Quiet Plains";QZDA41869663
"Dear Mr. Supercomputer";"Sufjan Stevens";"The Avalanche";US64G0601426
Eugene;"Sufjan Stevens";"Carrie & Lowell";US64G1509905
"Waiting Game";BANKS;Goddess;USUM71310457
Pendulum;"FKA twigs";LP1;GBBKS1400229
"Waterloo Sunset";"The Kinks";"Picture Book";GBUM70811348
"Division Day";"Elliott Smith";"Division Day";US33X0000501
"Tv Song";Papadosio;T.E.T.I.O.S;USJ441200051
Utopiate;Papadosio;Magreenery;usx9p0724408
"Hot Wax";"King Gizzard & The Lizard Wizard";Oddments;AUDJ01401045
Studie;"Teebs, Panda Bear";Anicca;US25X1902304
"Red Curbs Loop (Stuff I Dream About)";Teebs;"Collections 01";US25X1083385
"Garden Shed (feat. Estelle)";"Tyler, The Creator, Estelle";"Flower Boy";USQX91701278
"Sylvia Says";"Charlotte Gainsbourg";Rest;FR6P11701960
"Dans Vos Airs";"Charlotte Gainsbourg";Rest;FR6P11702000
Sleepwalker;"King Gizzard & The Lizard Wizard";Oddments;AUDJ01401044
Locket;Crumb;Locket;TCADC1793184
"Beginner's Luck";"King Gizzard & The Lizard Wizard";"Gumboot Soup";AUTZK1700107
"What's in My Head?";Fuzz;Fuzz;USA3D1310074
"My Idea of Heaven";"Matt Pless";Tumbleweed;QZ4JJ1973937
"When the Frayed Wind Blows";"Matt Pless";Nero;QM6P41949765
"Talking Heads";"black midi";"Talking Heads";GBCVZ1900056
Atari;"Nai Palm";"Needle Paw";USSM11707286
"Lights On";"FKA twigs";LP1;GBBKS1400226
"Two Weeks";"FKA twigs";LP1;GBBKS1400227
"Atoms Song";"Teebs, Thomas Stankiewicz";Anicca;US25X1902300
"Dress Codes";"Mr. Bill, Haywyre";"The Collaborative Endeavors";QM2PV1531986
"IDM Anthem";"Mr. Bill, Woulg";"IDM EP";CA5KR1972561
"Cat Thruster";deadmau5;W:/2016ALBUM/;GBTDG1301194
"Ice Age - deadmau5 Remix";"How To Destroy Angels, deadmau5";while(1<2);USQX91400975
Snowcone;deadmau5;Snowcone;GBTDG1301111
Boss;"Little Simz";"GREY Area";GBKPL1821965
"Momentary Bliss (feat. slowthai and Slaves)";"Gorillaz, slowthai, Slaves";"Momentary Bliss (feat. slowthai and Slaves)";GBAYE1901675
"St. Judy's Comet";"Paul Simon";"There Goes Rhymin' Simon";USSM11002205
"Run That Body Down";"Paul Simon";"Paul Simon";USSM11002237
Congratulations;"Paul Simon";"Paul Simon";USSM11002244
"Candy Gun";Melt-Banana;Fetch;US36X1310001
Zero;Melt-Banana;Fetch;US36X1310012
"Bumble Bee Crown King";"Dan Deacon";"Mystic Familiar";GBCEL1900384
"My Friend";"Dan Deacon";"Mystic Familiar";GBCEL1900383
"Weeping Birch";"Dan Deacon";"Mystic Familiar";GBCEL1900381
"Fell Into the Ocean";"Dan Deacon";"Mystic Familiar";GBCEL1900382
"Arp IV: Any Moment";"Dan Deacon";"Mystic Familiar";GBCEL1900380
"Arp III: Far From Shore";"Dan Deacon";"Mystic Familiar";GBCEL1900379
"Arp II: Float Away";"Dan Deacon";"Mystic Familiar";GBCEL1900378
"Arp I: Wide Eyed";"Dan Deacon";"Mystic Familiar";GBCEL1900377
"Sat By A Tree";"Dan Deacon";"Mystic Familiar";GBCEL1900376
Hypnagogic;"Dan Deacon";"Mystic Familiar";GBCEL1900375
"Become a Mountain";"Dan Deacon";"Mystic Familiar";GBCEL1900374
"Red Lights";"Holy Fuck";Latin;GBBKS0900249
"Come to Atlanta";"Faye Webster";"Atlanta Millionaires Club";US38W1937607
"La Rumba D'el Jefe";"Jesse Cook";"The Rumba Foundation";CACJ30900008
Virtue;"Jesse Cook";"Free Fall";USNA10017317
"Stretch Out";Faust;"Patchwork 1971-2002";DES010500271
"Funky D";"Victor Wooten, Dennis Chambers, Bob Franceschini";TRYPNOTYX;USAPX1700005
Tenfold;Thundercat;Apocalypse;US25X1084668
Feather;"Little Dragon";"Machine Dreams";GBEWK0900007
"Potholderz feat. Count Bass D";"MF DOOM";MM...FOOD;USBWK0700039
