,Artist Name,Artist URI,Album URI
0,al di meola,3bBWKHfpepPOychRNFzg4q,7xbyqbmIudUFYHsgHEvcwp
1,al di meola,3bBWKHfpepPOychRNFzg4q,0HSSxy1xsVQNMobVl0Cr37
2,al di meola,3bBWKHfpepPOychRNFzg4q,1Fgb628XzkhBllD7xOZpV9
3,al di meola,3bBWKHfpepPOychRNFzg4q,3UzuqCIPD2JiWHoLWro8Id
4,al di meola,3bBWKHfpepPOychRNFzg4q,001oY5Lq7TK2VgNwRVloiD
5,al di meola,3bBWKHfpepPOychRNFzg4q,0d0l2tTsHAODKhY4Gc2xs5
6,al di meola,3bBWKHfpepPOychRNFzg4q,0FhP0K2sP45lxbIuQUtEE8
7,al di meola,3bBWKHfpepPOychRNFzg4q,0J0NOx36EZGzoc9VXK4p4H
8,al di meola,3bBWKHfpepPOychRNFzg4q,1MFeMpAb2WvTb6a6UjTeF5
9,al di meola,3bBWKHfpepPOychRNFzg4q,67ZofY3EbJzp9mtmHBhTqB
10,al di meola,3bBWKHfpepPOychRNFzg4q,1FTcIW8EYXAQMohRMP2Ij5
11,al di meola,3bBWKHfpepPOychRNFzg4q,2zDV7OS6XDGf1I4wLGylEl
12,al di meola,3bBWKHfpepPOychRNFzg4q,0tdbNpSwz9DwudDFkDxoyC
13,al di meola,3bBWKHfpepPOychRNFzg4q,1p6nqxRgbOvQWCR3lfRota
14,al di meola,3bBWKHfpepPOychRNFzg4q,2NKM0tXXlZYpMBPs2CZImH
15,al di meola,3bBWKHfpepPOychRNFzg4q,7k4C6xa87snfmEAULScEez
16,al di meola,3bBWKHfpepPOychRNFzg4q,65z1Rzxb6vZvygaDEmwyNY
17,al di meola,3bBWKHfpepPOychRNFzg4q,7oHvC26Z0cm1CFAnvdAhny
18,al di meola,3bBWKHfpepPOychRNFzg4q,1yzLqtaxhbZiULifkBlg2R
38,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,391y4N0CepQ4aH3KdL0lPh
39,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,2C9aQdElIWVbexVbXTdy2S
40,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,0BLk37EjAePktLCiIYacUG
41,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,5LjH2GuhjbVpGiEqdpnQvG
42,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,4pYvRFog3iS3UPipDzkKQZ
43,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,1NHepbfgoMvGQbDzfz5wwk
44,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,32H7OQ5EVve6jAkOPnyrSZ
45,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,18Rqyh50ogFZGF9cc6Szj3
46,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,50M9ZQSIzLmwRIS3doYI3l
47,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,2niL2IxLsiBCNq7cHUJ2xL
48,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,0dyfQhYZFHfkdjgJIPlW35
49,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,6aqd9yBBA5hCUtJ2HsE8LV
50,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,1kOFYmSLEWbxTyek4oNvNv
51,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,1JqamJga8QpJnKMdojPBfh
52,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,0NlynZBCvRWH4zjB3niwbV
53,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,0UbsOp3YYszvXnR1EQ8pBG
54,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,0LuEOgpfOw7alMC8fXCF3E
55,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,4EtA69YGY0HJdIluqGUKGP
56,paco de lucia,3h8OjAdgYXVRoMZ8jFd6Uw,0TwyXUhc1l3rCTq920k6U6
114,armik,2Z8XcWdgy5dSaiQR3d7tHK,447MfZNT01SHksZ4PDOTOm
115,armik,2Z8XcWdgy5dSaiQR3d7tHK,3xqd8fmhiqjYebTuktFGN9
116,armik,2Z8XcWdgy5dSaiQR3d7tHK,1aGfcnXfXqefMf4TJfRkgd
117,armik,2Z8XcWdgy5dSaiQR3d7tHK,7vpRhpWT83mNvLBqjJ9Kbt
118,armik,2Z8XcWdgy5dSaiQR3d7tHK,5VC5cIOaF5EQFkorvWDvnS
119,armik,2Z8XcWdgy5dSaiQR3d7tHK,1Xlxywt9IGwhRAQ0ehhgHh
120,armik,2Z8XcWdgy5dSaiQR3d7tHK,4NEj5i4q7dyIcx75ZTWYHU
121,armik,2Z8XcWdgy5dSaiQR3d7tHK,6ikEw1ZtUKMf54Enl99zVq
122,armik,2Z8XcWdgy5dSaiQR3d7tHK,3RcYE9xDqPYK0hHQD32mXy
123,armik,2Z8XcWdgy5dSaiQR3d7tHK,53WagI0egy3lCu2zZ5T3j4
124,armik,2Z8XcWdgy5dSaiQR3d7tHK,7dhA5JtxPVBsymRUdbZlhm
125,armik,2Z8XcWdgy5dSaiQR3d7tHK,1P3vaeCaQiqqCUYo55pRPy
126,armik,2Z8XcWdgy5dSaiQR3d7tHK,2N2hsOVFjSY5QiPpPKRKBR
127,armik,2Z8XcWdgy5dSaiQR3d7tHK,7dLwGv4rqDlP3FFWTncj5z
128,armik,2Z8XcWdgy5dSaiQR3d7tHK,4ou6DzcqwKDVecdONeCqhU
129,armik,2Z8XcWdgy5dSaiQR3d7tHK,7q5lMGCP7OwUQCARvbjYay
130,armik,2Z8XcWdgy5dSaiQR3d7tHK,5im8uVIPHdhDBFsj62RURa
131,armik,2Z8XcWdgy5dSaiQR3d7tHK,0Q7DY7K7jHYngPxhLmYKIa
132,armik,2Z8XcWdgy5dSaiQR3d7tHK,3dklScgNwTX6CgQLz0xQhi
133,big star,3UvcmAOZt64oKpP95f6MMM,0lAVJw8UNeYD3nHeE6OUgl
134,big star,3UvcmAOZt64oKpP95f6MMM,72sJQMu9XJXkZJ3uoS4DtU
135,big star,3UvcmAOZt64oKpP95f6MMM,7eZKKe38ipnOOa7QsbZWIR
136,big star,3UvcmAOZt64oKpP95f6MMM,34h6isIKyVinlW0YCbKwKd
137,big star,3UvcmAOZt64oKpP95f6MMM,1rhYQnZdGMZAdo95fTgii8
138,big star,3UvcmAOZt64oKpP95f6MMM,53hcDEM86Y525WvKOzHVpH
139,big star,3UvcmAOZt64oKpP95f6MMM,3mtVgumHx6y9I2UvW4lUd5
140,big star,3UvcmAOZt64oKpP95f6MMM,62ntE1FF66tVoqXrvwuePu
141,big star,3UvcmAOZt64oKpP95f6MMM,7J7sZIPRWHxt3eVPGKsfi6
142,big star,3UvcmAOZt64oKpP95f6MMM,4lZSX0E1dcg1bi5T4BzWf0
143,big star,3UvcmAOZt64oKpP95f6MMM,41gcwDtvIrcg89TVD9SUdD
144,big star,3UvcmAOZt64oKpP95f6MMM,0LhOU6ldrQI4uzoCuyzBOX
145,big star,3UvcmAOZt64oKpP95f6MMM,3HYbqWoA6SoEOamcKM4dvd
146,big star,3UvcmAOZt64oKpP95f6MMM,79Kv2xKvtqXrDcY2acvqfT
147,big star,3UvcmAOZt64oKpP95f6MMM,1BumwwIEw1EC3xAHyf1ive
148,big star,3UvcmAOZt64oKpP95f6MMM,0TDBkNvMV4M4VUaDtQit7i
149,big star,3UvcmAOZt64oKpP95f6MMM,5QzPo0sIGRx0aWdpdS1S1e
150,big star,3UvcmAOZt64oKpP95f6MMM,2phUdYGTtlOJU7z1i5msol
151,big star,3UvcmAOZt64oKpP95f6MMM,3SGdIwwZKLmqJQotKyooPW
152,buddy guy,2gCsNOpiBaMNh20jQ5prf0,425gWaQU4t3KOvcM7z3VGk
153,buddy guy,2gCsNOpiBaMNh20jQ5prf0,05GcLcffb84BOLzo7BMz9W
154,buddy guy,2gCsNOpiBaMNh20jQ5prf0,5IyOwYWSw2m1mwD4OEpFeM
155,buddy guy,2gCsNOpiBaMNh20jQ5prf0,5kTkIJIjjUTv8FEMGrzXvF
156,buddy guy,2gCsNOpiBaMNh20jQ5prf0,24qPlBedjmZlqnfIZmjLNS
157,buddy guy,2gCsNOpiBaMNh20jQ5prf0,3Ffq2zUrqdT3yf2jt5l5Vs
158,buddy guy,2gCsNOpiBaMNh20jQ5prf0,3WH2ZpwBApxjDMQf3tEArm
159,buddy guy,2gCsNOpiBaMNh20jQ5prf0,4G9uuVJr2HKndziyWh6wPu
160,buddy guy,2gCsNOpiBaMNh20jQ5prf0,1o9lmss58SxDfOJU7Z8HOI
161,buddy guy,2gCsNOpiBaMNh20jQ5prf0,3PSiKvI79K1aoayA3Z7xfV
162,buddy guy,2gCsNOpiBaMNh20jQ5prf0,1b1mhwRLhjlr5bbGHnDine
163,buddy guy,2gCsNOpiBaMNh20jQ5prf0,2uWyJjLIiRieQzSKQYDQAW
164,buddy guy,2gCsNOpiBaMNh20jQ5prf0,1xhZoNsOxmy4SEOCIomddn
165,buddy guy,2gCsNOpiBaMNh20jQ5prf0,0ROkOFhb4cqlys1e8e3m2W
166,buddy guy,2gCsNOpiBaMNh20jQ5prf0,7LafphryGr8AjCZYrau4j1
167,buddy guy,2gCsNOpiBaMNh20jQ5prf0,5CIK2RIt6REWTwC7p44yst
168,buddy guy,2gCsNOpiBaMNh20jQ5prf0,47uvqcKvjvgIceQ6KaURur
169,buddy guy,2gCsNOpiBaMNh20jQ5prf0,6q80QMqBZJMht2f7c4bLL6
170,buddy guy,2gCsNOpiBaMNh20jQ5prf0,1HLPFREBVbrmeBKs5tP5jf
171,buffalo tom,6paRdA1dkAEb0dWcIS4TOp,0WLJxW4WyjLMs6c5eEEGCg
172,buffalo tom,6paRdA1dkAEb0dWcIS4TOp,5ALuKxNKxoZRpL9HkQyrdb
173,buffalo tom,6paRdA1dkAEb0dWcIS4TOp,2aLUPog32jAnE9YyImMIFi
174,buffalo tom,6paRdA1dkAEb0dWcIS4TOp,54mS4N9QcO2OBzcDQM2ypZ
175,buffalo tom,6paRdA1dkAEb0dWcIS4TOp,7gnutB40rRtqswQ3jzn4Te
176,buffalo tom,6paRdA1dkAEb0dWcIS4TOp,0iGglAcQbLfSz8qDJrx50v
177,buffalo tom,6paRdA1dkAEb0dWcIS4TOp,7qFXpgDm2UGoBldnuGtWUU
178,buffalo tom,6paRdA1dkAEb0dWcIS4TOp,25Z9noVQiuVJstbNblLeps
179,buffalo tom,6paRdA1dkAEb0dWcIS4TOp,0ENt2Pp3jju87VK80vsOvc
180,buffalo tom,6paRdA1dkAEb0dWcIS4TOp,0t3UD78IY5ua4czVmd6Z3Y
181,buffalo tom,6paRdA1dkAEb0dWcIS4TOp,2XUup7lLeiywxsH7VROpsC
182,buffalo tom,6paRdA1dkAEb0dWcIS4TOp,75f30uB5PtccjOnzuJHjoF
183,buffalo tom,6paRdA1dkAEb0dWcIS4TOp,0cOv7XNvcjjwi4btXKpqC3
184,buffalo tom,6paRdA1dkAEb0dWcIS4TOp,2JoGAcr9GnsoojtS2V86zT
185,buffalo tom,6paRdA1dkAEb0dWcIS4TOp,0SJgIBNJev2lbCeixWQZGA
186,buffalo tom,6paRdA1dkAEb0dWcIS4TOp,373gMkbWrTskU6QhUZ4Y9Q
