track_uri|danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|time_signature
7cVA2h2HRlE2mOxhXEmtro|0.503|0.656|2|-4.768|1|0.0315|0.236|0.836|0.355|0.472|130.073|4
5N6IdYnIYaATgQKHg9CZJP|0.258|0.54|0|-6.73|1|0.0288|0.22|0.789|0.0754|0.436|83.048|4
2Fz3MpPkiUPEH6d4Heuipp|0.595|0.634|7|-7.057|1|0.0303|0.783|0.747|0.0989|0.489|108.009|4
4yDo6bylEHQMbAaXLKSvwl|0.334|0.744|2|-5.317|1|0.037|0.576|0.771|0.086|0.639|169.865|3
1kgKtxtHLvRPrmvX8ns79t|0.724|0.636|2|-6.874|1|0.031|0.673|0.833|0.123|0.679|129.989|4
2f9m1gEeEveK3E4nkXOvD3|0.571|0.596|9|-6.959|1|0.0308|0.425|0.185|0.0765|0.542|96.936|4
1yaj9IUWz7QaBpuwYxRsp1|0.488|0.316|0|-10.614|1|0.0382|0.959|0.914|0.107|0.217|146.663|4
1M9aXWCWRtmiuUJuDNMUyg|0.534|0.57|1|-7.765|0|0.0287|0.793|0.761|0.107|0.367|104.989|4
2V3KpCCtGjjCJ1MUnKid89|0.329|0.481|5|-8.094|1|0.0324|0.908|0.732|0.0981|0.653|173.627|4
3tYOJ81C6qHIIkW8FAU69e|0.645|0.574|2|-8.243|0|0.0455|0.828|0.841|0.115|0.567|96.189|4
2wBMA1jDkLAwcotlwgRATP|0.455|0.518|4|-8.243|0|0.0351|0.864|0.883|0.094|0.446|125.064|4
3hmkXA8pT2eT08wVM8md28|0.454|0.519|5|-8.222|1|0.0272|0.401|0.75|0.123|0.381|84.827|4
2WWXgrorazoGDKb4NJ0fMJ|0.463|0.136|2|-16.981|0|0.0406|0.99|0.951|0.105|0.171|140.967|3
2PZTyJpHbEqE2FJNN651IB|0.387|0.642|9|-7.19|1|0.064|0.745|0.000766|0.291|0.387|186.496|4
6raJmQjCQrU8GnzoEFHWqr|0.231|0.54|0|-6.73|1|0.028|0.223|0.794|0.0756|0.431|88.803|4
3rdvKB0AnBAoAa1xO0TjOm|0.228|0.54|0|-6.717|1|0.0283|0.222|0.786|0.0806|0.432|88.271|4
0Wxc7s7JwCZN1J3dLfUiLi|0.231|0.54|0|-6.73|1|0.028|0.223|0.794|0.0756|0.431|88.803|4
4NHNxP5HLk8ao9YFfpr8rR|0.722|0.636|2|-6.873|1|0.0312|0.683|0.825|0.122|0.683|129.959|4
4uXsLSH0JOURsmfDqDMAoq|0.612|0.575|2|-8.241|0|0.047|0.828|0.817|0.114|0.559|96.144|4
7tM5Rybt8EhfMrMkAPUxUb|0.524|0.642|9|-7.19|1|0.0493|0.745|0.000784|0.261|0.394|92.735|4
6e6aMud5YfatnNLXcOPalO|0.333|0.665|7|-14.794|0|0.377|0.794|0.323|0.967|0.39|172.233|3
0mEKBVLbAZ4FilLthdGdr8|0.264|0.45|2|-15.806|0|0.0874|0.778|0.205|0.697|0.25|175.387|3
3LIzeOHW9lYwfMoV5VbRM5|0.378|0.491|4|-15.559|0|0.156|0.868|0.133|0.697|0.206|118.983|4
